#,Scene Name,Subscene,Notes,Narration,Camera Movement,Transition
0,Introduction,,,"Have you ever wondered how a phone or a computer can recognize your face and allow you to unlock it? How do these systems identify our faces? In this video, we will explore how modern face recognition systems transform a face into a mathematical representation, and why ArcFace has become one of the most important methods in modern face recognition. This video will explain a key face recognition algorithm through an intuitive visual approach.","The camera starts from a distant position, showing the full scene, then slowly zooms in toward the 3D mesh model of the face as the focal point. The camera rotates around the Y-axis by about 30 degrees to create a sense of depth in the 3D structure, then smoothly pans down toward the title text.",Move to Scene 1
1,Pipeline,A. Human vs. Computer,,"For humans, recognizing a face feels almost instantaneous. With just a glance, we can identify friends or family members in a crowd. For a computer, however, a face is ultimately a collection of pixels and numerical values. To perform recognition, the system must convert information from a face image into a mathematical representation that can be measured and compared.
But behind an action as simple as looking into a camera to unlock a phone, there is a complex system consisting of multiple processing stages. So what exactly happens when you look into the camera?","The camera stays centered and begins with a real face image. Use a split-screen effect: the left side represents the human view, and the right side represents the computer view. Pan gently back and forth between the two sides. Merge the view back to the center before moving to Part B.",
2,Pipeline,B. Pipeline,,"A face recognition system operates through four main stages.

First, the camera captures an image of your face.

Next, a face detection algorithm finds and localizes the face within the image. To optimize the process and improve the algorithm’s accuracy, the system does not process every pixel of the entire image from the beginning, because an image contains a large amount of irrelevant information, such as the background, clothing, lighting, surrounding objects, or other people. If the model used the entire image directly, it would also have to learn from these unnecessary sources of noise. In addition, the system aligns the face within the frame based on predefined facial landmarks such as the eyes, nose, and mouth, so that faces have more consistent scale and orientation before being passed into the neural network. Therefore, face detection is a necessary step that identifies the face region, then crops and normalizes it into a standardized input area.

After the face has been detected and normalized, the face image is passed into a neural network to extract features. Here, “features” do not mean that the system simply memorizes isolated details such as large eyes, a high nose bridge, or a wide mouth. In deep learning, features are informative patterns that help distinguish identities across faces, and these patterns are learned automatically from data by the network. In early layers, the network may learn simple patterns such as edges, contours, and textures. In deeper layers, these patterns are combined into more complex representations, such as the structure around the eyes, the shape of the nose, the jawline, proportions between facial components, and global facial characteristics. The final result of this stage is a numerical vector that represents the face. This vector is called an embedding vector, or simply an embedding.

Once an embedding has been extracted from the face, this new representation is called the query embedding. The system compares the query embedding with the stored data to determine the identity associated with it. All of these steps happen very quickly, but each stage directly affects the final recognition accuracy.","The camera gently pans from left to right along the processing pipeline, stopping at each stage while it is being explained. Reset the camera back to the center before moving to the next scene.",Scene 1 → Scene 3
3,Challenges,A. Variability,What comes after this conclusion?,"At this point, the central problem begins to emerge: the same person can appear in very different ways under different conditions. The face angle may change, the lighting may change, the facial expression may change, or the face may be partially occluded by glasses, a mask, or hair. Humans can still recognize that this is the same person. For a computer, however, each different condition produces a substantially different input image. The challenge of face recognition is not simply to memorize faces, but to learn features that are stable enough to recognize the same identity across many real-world variations.","The camera starts with the full image grid, then zooms into each image sequentially to highlight the differences. Move through the grid layout. Pull back to show the entire grid with annotations.",
4,Challenges,B. Why Accuracy Matters,,"Accuracy in face recognition is crucial because this technology is now widely deployed. When errors occur, the consequences are not limited to inconvenience in user experience; they can also create more serious risks related to security and privacy.
Imagine that your phone fails to unlock at night because the lighting conditions are poor. You would not be able to use your phone smoothly, and the overall experience would be frustrating.
If a security camera mistakenly identifies another person as you, that person may be an intruder exploiting your identity to blend in. A serious security problem begins to appear.
And if an eKYC system verifies identity incorrectly, a malicious actor might gain access to your bank card or account. Any error in these situations can lead to serious consequences, ranging from everyday inconvenience to security breaches, financial loss, or even fraudulent activity.
Therefore, a face recognition system must not only perform well under ideal conditions, but also remain stable under real-world variations. This requires the model to learn a more reliable face representation than direct pixel-by-pixel comparison.","Transition to three icons. Pan back and forth between the three icons, and zoom into each icon as it is explained.",
5,Challenges,C. Transition,,"From the problems above, we can see that face recognition cannot be solved merely by memorizing faces or comparing pixels. It is a problem with many challenges that must be overcome in order to achieve high accuracy. What the system needs to learn is a way to represent faces such that different images of the same person produce nearby representations, while faces of different people produce representations that are sufficiently distinct.
And to understand why distances between embeddings matter, we need the concept of an embedding space.","The camera zooms into each image sequentially, as if browsing through a gallery. Move through the grid layout from top to bottom.",Scene 2 → Scene 4
6,Embedding Space,A. City Map Analogy,,"Imagine a city planned according to the architectural similarity of its houses. Houses with similar designs are placed near one another and organized into the same neighborhood. The more similar their architectural designs are, the closer they appear on the map. Face recognition works in a similar way. Instead of memorizing every pixel in a face image, recognition systems learn to place each face into a geometric space. This space is called an embedding space.","The camera starts from a real face image, then zooms in and morphs it into a glowing point on a 2D plane. The camera gently pans around to show clusters from multiple angles.",Scene 3 → Scene 5
7,Embedding Space,B. Embedding Concept,,"1. What is an embedding space? How is it created?
An embedding space is not a coordinate system manually predefined in advance. It is a geometric space learned by a neural network during training.
This space consists of embeddings. As discussed earlier, an embedding is not produced randomly; it functions as a numerical representation of a face identity in the database and can be visualized within the embedding space. However, the important point is not the absolute value of each embedding. What truly matters is the relative distance between embeddings.

2. How are embeddings created? Are they placed into the embedding space randomly?
At the early stage of training, the neural network is given many face images with known identities. Since it has not yet learned the structure of the data, the embeddings are almost randomly distributed and do not yet form meaningful clusters.

For each newly generated embedding, the system compares it with the identity classes it has learned. If the embedding of a face is not close enough to the cluster of the correct person, or is too close to the cluster of another person, the loss function generates an error signal. This error signal is propagated backward through the network via backpropagation, causing the neural network’s weights to be updated. After many updates, the network gradually learns to generate embeddings such that images of the same person lie close together, while different identities are separated from one another. The system does not immediately “know” what the correct distance should be. That distance is learned gradually from the data and the training objective. As a result, the embedding space gradually forms clear identity clusters: embeddings of the same person form compact clusters, while different identities are separated by larger distances. Therefore, the embedding space is not a fixed structure that exists beforehand. It is the result of representation learning and geometric optimization by the neural network.

3. How is the embedding space optimized?
During training, not only do distances between points change, but the overall structure of the embedding space is also gradually shaped. The neural network continuously adjusts how it generates embeddings in order to optimize identity discrimination.

4. Key takeaway
Thus, face recognition is not fundamentally a problem of memorizing many faces for exact comparison. It is, in essence, a problem of measuring distances between embeddings in the embedding space.",,
8,Embedding Space,C. Transition,,"The real problem begins after the system has created an embedding space. The quality of a face recognition system depends heavily on how the embeddings are organized. How can we create a good embedding space? How can clusters of the same identity be made sufficiently compact while still being clearly separated from other identities? This is the problem that modern face recognition algorithms attempt to solve.
For a neural network to learn how to organize the embedding space, the system needs a clear optimization objective. In face recognition, the most common objective is to require the network to classify each embedding into its correct identity. To do this, the system needs a loss function.",,
9,Softmax,Loss Function Introduction,,"A loss function is a mathematical function that measures the discrepancy between the result predicted by the neural network and the true result. Put simply, it tells us how “wrong” the model is during prediction. During training, the neural network continuously adjusts its parameters to minimize the loss value. The smaller the loss, the more likely the generated embeddings are to distinguish identities accurately. Therefore, the loss function not only affects identity classification, but also indirectly determines how the embedding space is organized. Different loss functions produce different embedding-space structures. Softmax is one of the most commonly used loss functions.",,
10,Softmax,Concept,,"1. Basic concept
Softmax takes an embedding vector as input and converts it into a probability distribution over all identities. Intuitively, the neural network computes how similar the current embedding is to each learned identity class. Each identity class corresponds to its own weight vector in the embedding space. These vectors act like representative directions for the identity classes. The closer an embedding is to the direction of a given class, the higher the probability that it belongs to that class. During training, the objective of softmax is to make the probability of the correct identity class as high as possible. Ultimately, the class with the highest probability becomes the model’s prediction.

2. Decision boundary
This causes the structure of the embedding space to be gradually divided into different classification regions. Each region corresponds to the identity that the neural network considers most probable. The boundaries between these regions are called decision boundaries. In a 2D space, decision boundaries can be imagined as lines separating the territories of different identity classes. If an embedding lies on one side of a boundary, it will be classified into the class associated with that side.","The camera begins with a wide shot showing the full formula, then zooms into each part of the formula as it is explained. Move from the formula to a 2D plane view to illustrate the geometric interpretation.",Scene 4 → Scene 6
11,Softmax,Limitation,,"1. Weakness
Softmax performs reasonably well at classification and at forming identity clusters in the embedding space. However, it still has an important limitation. The primary objective of softmax is to optimize classification accuracy, not to directly optimize the geometric structure of the embedding space. As long as an embedding lies on the correct side of the decision boundary, the model can treat it as a correct classification. This leads to a problem: softmax does not explicitly force embeddings of the same identity to be very close to one another, nor does it require different identities to be separated by a sufficiently large distance. In other words, softmax focuses on correct classification, but does not simultaneously optimize intra-class compactness—the tightness of samples within the same class—and inter-class separability—the distance between different classes. Therefore, the region near the decision boundary often becomes an area where the model is uncertain between multiple identities. A small perturbation may be enough to misclassify embeddings located near this boundary, for example when noise, face-pose changes, lighting changes, or facial-expression changes occur. This is why the embedding space produced by standard softmax is still not discriminative enough for face recognition. A good embedding space should not only classify correctly; it should also maintain a safety margin between identities.

2. Classroom analogy
We can imagine the embedding space as a classroom where students are divided into different groups. Each group sits together in a cluster of nearby positions. Normally, students from the same group sit relatively close to one another, and different groups are separated. But if two students from different groups sit too close together, then even a slight movement or a small amount of noise can easily cause confusion about which group each student truly belongs to.","The camera zooms deeply into the blurred boundary region between two clusters. Then pan horizontally across several different boundary regions. Finally, pull back to show a bird’s-eye view of the entire space with overlapping clusters.",Scene 5 → Scene 7
